id	displayName	reasonAdvertisement	reasonBilk	reasonSpam
troyesivan		TRUE	FALSE	FALSE
trust		TRUE	FALSE	FALSE
tsaowenzee		TRUE	FALSE	FALSE
twloha		TRUE	FALSE	FALSE
tylerknott		TRUE	FALSE	FALSE
tyleroakley		TRUE	FALSE	FALSE
typeverything		TRUE	FALSE	FALSE
typeworship		TRUE	FALSE	FALSE
typostrate		TRUE	FALSE	FALSE
uafairbanks		TRUE	FALSE	FALSE
unescapable		TRUE	FALSE	FALSE
unrealisticstory		TRUE	FALSE	FALSE
unwrapping		TRUE	FALSE	FALSE
urbangreens		TRUE	FALSE	FALSE
uutpoetry		TRUE	FALSE	FALSE
veesko		TRUE	FALSE	FALSE
vgjunk		TRUE	FALSE	FALSE
viria		TRUE	FALSE	FALSE
visual-poetry		TRUE	FALSE	FALSE
visualmixtape		TRUE	FALSE	FALSE
vogue		TRUE	FALSE	FALSE
w42stmagazine		TRUE	FALSE	FALSE
watering76		TRUE	FALSE	FALSE
we-the-survivors		TRUE	FALSE	FALSE
welcometoulzzang		TRUE	FALSE	FALSE
weloveyourgenes		TRUE	FALSE	FALSE
wildcat2030		TRUE	FALSE	FALSE
witchoria		TRUE	FALSE	FALSE
wnq-writers		TRUE	FALSE	FALSE
wolframalpha		TRUE	FALSE	FALSE
wordsnquotes		TRUE	FALSE	FALSE
wowgreat		TRUE	FALSE	FALSE
writing-prompt-s		TRUE	FALSE	FALSE
writingsforwinter		TRUE	FALSE	FALSE
wrstardust		TRUE	FALSE	FALSE
yahoo-hbl		TRUE	FALSE	FALSE
yahoodevelopers		TRUE	FALSE	FALSE
yahoofantasy		TRUE	FALSE	FALSE
yahoofinance		TRUE	FALSE	FALSE
yahoonewsphotos		TRUE	FALSE	FALSE
yokunaiyo		TRUE	FALSE	FALSE
your-health-hazard		TRUE	FALSE	FALSE
yourlookbookmen		TRUE	FALSE	FALSE
yourplayersaidwhat		TRUE	FALSE	FALSE
yoursummerdreamz		TRUE	FALSE	FALSE
youthx		TRUE	FALSE	FALSE
zackisontumblr		TRUE	FALSE	FALSE
